indice_tiempo,tipo_cambio_bna_vendedor,tipo_cambio_a3500,tipo_cambio_mae,volumen_mae,tipo_cambio_implicito_en_adrs,futuro_rofex_usd1m,interes_abierto_1m,futuro_rofex_usd2m,interes_abierto_2m,futuro_rofex_usd3m,interes_abierto_3m,futuro_rofex_usd4m,interes_abierto_4m,futuro_rofex_usd5m,interes_abierto_5m,futuro_rofex_usd6m,interes_abierto_6m
2017-01-13,16.05,15843,15853,340130.0,15.72107765451664,16.02,528233.0,16.27,460999.0,16.61,449591.0,16.88,224297.0,17.16,120444.0,17.43,121881.0
2017-01-14,16.05,15843,15853,,15.72107765451664,16.02,528233.0,16.27,460999.0,16.61,449591.0,16.88,224297.0,17.16,120444.0,17.43,121881.0
2017-01-15,16.05,15843,15853,,15.72107765451664,16.02,528233.0,16.27,460999.0,16.61,449591.0,16.88,224297.0,17.16,120444.0,17.43,121881.0
2017-01-16,16.05,15.8695,15853,340130.0,15.863708399366086,16.02,532220.0,16.27,470069.0,16.61,446591.0,16.87,220840.0,17.15,120444.0,17.42,121881.0
2017-01-17,16.1,15.8827,15909,291100.0,15.764631843926997,16.05,524616.0,16.3,469634.0,16.64,448871.0,16.92,221419.0,17.2,120699.0,17.47,129115.0
2017-01-18,16.2,15.9517,15975,225730.0,15.85709808837355,16.1,493760.0,16.34,506619.0,16.68,452184.0,16.93,221619.0,17.24,118300.0,17.52,138115.0
2017-01-19,16.1,15.9783,15.9,228660.0,15.763083672829834,15.98,527485.0,16.2,508997.0,16.53,463246.0,16.81,220341.0,17.1,118030.0,17.38,141726.0
2017-01-20,16.1,15.8567,15915,223410.0,15.808823529411764,16.0,522910.0,16.23,520663.0,16.56,457686.0,16.81,244849.0,17.09,123532.0,17.38,136746.0
2017-01-21,16.1,15.8567,15915,,15.808823529411764,16.0,522910.0,16.23,520663.0,16.56,457686.0,16.81,244849.0,17.09,123532.0,17.38,136746.0
2017-01-22,16.1,15.8567,15915,,15.808823529411764,16.0,522910.0,16.23,520663.0,16.56,457686.0,16.81,244849.0,17.09,123532.0,17.38,136746.0
2017-01-23,16.15,15.9218,15.94,177480.0,15.561450044208666,16.03,524910.0,16.25,545744.0,16.58,470786.0,16.81,253492.0,17.11,121225.0,17.4,136746.0
2017-01-24,16.15,15.9558,15.93,187250.0,15.888554216867469,16.0,532067.0,16.22,554506.0,16.54,481786.0,16.79,251336.0,17.08,122225.0,17.34,136746.0
2017-01-25,16.15,15.9312,15955,282370.0,15.816793893129772,15.99,571003.0,16.21,555981.0,16.53,497945.0,16.77,260865.0,17.07,122225.0,17.34,136066.0
2017-01-26,16.15,15.9448,15918,201340.0,15.768025078369906,15.96,643545.0,16.16,555641.0,16.47,492170.0,16.72,301978.0,17.0,115625.0,17.27,134677.0
2017-01-27,16.1,15.8908,15.9,234090.0,15.826419910657307,15.92,609511.0,16.13,543514.0,16.42,529660.0,16.65,315978.0,16.92,114429.0,17.19,137477.0
2017-01-28,16.1,15.8908,15.9,,15.826419910657307,15.92,609511.0,16.13,543514.0,16.42,529660.0,16.65,315978.0,16.92,114429.0,17.19,137477.0
2017-01-29,16.1,15.8908,15.9,,15.826419910657307,15.92,609511.0,16.13,543514.0,16.42,529660.0,16.65,315978.0,16.92,114429.0,17.19,137477.0
2017-01-30,16.1,15935,15922,216850.0,15.95330739299611,15.92,595799.0,16.11,559412.0,16.4,553280.0,16.62,310827.0,16.88,113827.0,17.14,137532.0
2017-01-31,16.1,15.9117,15897,280020.0,15.91567428387512,15.91,595799.0,16.08,569109.0,16.36,576455.0,16.58,316809.0,16.83,112099.0,17.08,141537.0
2017-02-01,16.0,15835,15.8,294100.0,15.869218500797448,16.01,625431.0,16.28,569075.0,16.51,321124.0,16.76,107099.0,17.03,147537.0,17.27,54423.0
2017-02-02,15.9,15.7235,15.68,312610.0,15.61524047470331,15.87,666860.0,16.14,629390.0,16.38,335433.0,16.67,124509.0,16.94,150415.0,17.19,50853.0
2017-02-03,15.8,15.6542,15.62,299260.0,15.621137206427688,15.77,700400.0,16.05,652627.0,16.29,360776.0,16.55,129512.0,16.83,152675.0,17.08,55686.0
2017-02-04,15.8,15.6542,15.62,,15.621137206427688,15.77,700400.0,16.05,652627.0,16.29,360776.0,16.55,129512.0,16.83,152675.0,17.08,55686.0
